City[nameCity=Soure, nameCountry=Brazil, latitude=-0.5083679, longitude=-48.6388879]
City[nameCity=Guaratinguetá, nameCountry=Brazil, latitude=-22.8140057, longitude=-45.1904004]
City[nameCity=Matozinhos, nameCountry=Brazil, latitude=-19.5547969, longitude=-44.0871994]
City[nameCity=Jaguariaíva, nameCountry=Brazil, latitude=-24.2530306, longitude=-49.7106625]
City[nameCity=Itaocara, nameCountry=Brazil, latitude=-21.6704167, longitude=-42.0792577]
City[nameCity=Ituberá, nameCountry=Brazil, latitude=-13.734009, longitude=-39.1478933]
City[nameCity=Santana de Parnaíba, nameCountry=Brazil, latitude=-23.4429961, longitude=-46.9226576]
City[nameCity=Ibirataia, nameCountry=Brazil, latitude=-13.9468358, longitude=-39.6724573]
City[nameCity=Laranjeiras do Sul, nameCountry=Brazil, latitude=-25.4079504, longitude=-52.4134746]
City[nameCity=Ferraz de Vasconcelos, nameCountry=Brazil, latitude=-23.5441298, longitude=-46.3660676]
City[nameCity=Nova Era, nameCountry=Brazil, latitude=-19.7667781, longitude=-43.0343237]
City[nameCity=Penedo, nameCountry=Brazil, latitude=-10.2735517, longitude=-36.5536172]
City[nameCity=Itaúna, nameCountry=Brazil, latitude=-20.0822785, longitude=-44.5805309]
City[nameCity=Itajubá, nameCountry=Brazil, latitude=-22.422971, longitude=-45.4602511]
City[nameCity=Linhares, nameCountry=Brazil, latitude=-19.39656, longitude=-40.0658731]
City[nameCity=Cerquilho, nameCountry=Brazil, latitude=-23.1744477, longitude=-47.7440315]
City[nameCity=Piraquara, nameCountry=Brazil, latitude=-25.4426635, longitude=-49.0628847]
City[nameCity=Franca, nameCountry=Brazil, latitude=-20.5393288, longitude=-47.4013437]
City[nameCity=Glória do Goitá, nameCountry=Brazil, latitude=-7.9995755, longitude=-35.2947008]
City[nameCity=Ponte Nova, nameCountry=Brazil, latitude=-20.4115862, longitude=-42.8982244]
City[nameCity=Parnaíba, nameCountry=Brazil, latitude=-2.9055447, longitude=-41.7733626]
City[nameCity=Araxá, nameCountry=Brazil, latitude=-19.59354, longitude=-46.94141]
City[nameCity=Jequié, nameCountry=Brazil, latitude=-13.8590592, longitude=-40.0837763]
City[nameCity=Medeiros Neto, nameCountry=Brazil, latitude=-17.3079902, longitude=-40.1862129]
City[nameCity=Franca, nameCountry=Brazil, latitude=-20.5503886, longitude=-47.3951378]
City[nameCity=Valença, nameCountry=Brazil, latitude=-22.2496709, longitude=-43.8290988]
City[nameCity=Marataizes, nameCountry=Brazil, latitude=-19.4704956, longitude=-42.4548328]
City[nameCity=Mutum, nameCountry=Brazil, latitude=-19.9125279, longitude=-41.4812771]
City[nameCity=Porto Feliz, nameCountry=Brazil, latitude=-23.2248099, longitude=-47.4882762]
City[nameCity=Pacajus, nameCountry=Brazil, latitude=-4.1731846, longitude=-38.460945]
City[nameCity=São José do Rio Preto, nameCountry=Brazil, latitude=-20.811761, longitude=-49.3762272]
City[nameCity=Imbituva, nameCountry=Brazil, latitude=-25.2641605, longitude=-50.6378804]
City[nameCity=Carazinho, nameCountry=Brazil, latitude=-28.2963334, longitude=-52.793776]
City[nameCity=Franca, nameCountry=Brazil, latitude=-20.5503886, longitude=-47.3951378]
City[nameCity=Jaboatão dos Guararapes, nameCountry=Brazil, latitude=-8.1693806, longitude=-34.9370588]
City[nameCity=Coaraci, nameCountry=Brazil, latitude=-14.6486494, longitude=-39.5898526]
City[nameCity=Poá, nameCountry=Brazil, latitude=-23.5198964, longitude=-46.3408798]
City[nameCity=Conchal, nameCountry=Brazil, latitude=-22.3664524, longitude=-47.1557087]
City[nameCity=Guarabira, nameCountry=Brazil, latitude=-6.8739016, longitude=-35.4562795]
