City[nameCity=Jijiang, nameCountry=China, latitude=24.781681, longitude=118.552365]
City[nameCity=Lianzhou, nameCountry=China, latitude=24.780966, longitude=112.377361]
City[nameCity=Xiaochuan, nameCountry=China, latitude=52.54952, longitude=13.35118]
City[nameCity=Nianyushan, nameCountry=China, latitude=29.205856, longitude=117.11078]
City[nameCity=Yangzhuang, nameCountry=China, latitude=22.9550072, longitude=113.0126011]
City[nameCity=Qinggang, nameCountry=China, latitude=46.689671, longitude=126.11386]
City[nameCity=Xiaopu, nameCountry=China, latitude=26.885704, longitude=120.005147]
City[nameCity=Changtan, nameCountry=China, latitude=24.64995, longitude=116.156645]
City[nameCity=Xinlong, nameCountry=China, latitude=30.939169, longitude=100.311368]
City[nameCity=Wucheng, nameCountry=China, latitude=29.086221, longitude=119.571633]
City[nameCity=Huxingshan, nameCountry=China, latitude=27.542493, longitude=110.702501]
City[nameCity=Chengxiang, nameCountry=China, latitude=25.419319, longitude=118.993885]
City[nameCity=Lizhuang, nameCountry=China, latitude=28.805453, longitude=104.802326]
City[nameCity=Tangchi, nameCountry=China, latitude=46.987383, longitude=123.769368]
City[nameCity=Gaokan, nameCountry=China, latitude=40.628952, longitude=122.511257]
City[nameCity=Banyue, nameCountry=China, latitude=28.2586882, longitude=108.1171371]
City[nameCity=Beidu, nameCountry=China, latitude=26.235575, longitude=100.874336]
City[nameCity=Yuelai, nameCountry=China, latitude=29.72277, longitude=106.53519]
City[nameCity=Lugouqiao, nameCountry=China, latitude=39.8502497, longitude=116.2190658]
City[nameCity=Fankeng, nameCountry=China, latitude=27.300683, longitude=119.727073]
City[nameCity=Xialaxiu, nameCountry=China, latitude=32.663268, longitude=96.609741]
City[nameCity=Shuiquan, nameCountry=China, latitude=35.640089, longitude=103.766427]
City[nameCity=Fuquan, nameCountry=China, latitude=26.686335, longitude=107.520386]
City[nameCity=Yuetang, nameCountry=China, latitude=27.872028, longitude=112.969479]
City[nameCity=Taiping, nameCountry=China, latitude=53.3004898, longitude=-6.2634596]
City[nameCity=Benniu, nameCountry=China, latitude=31.912048, longitude=119.783935]
City[nameCity=Qinggou, nameCountry=China, latitude=36.067108, longitude=120.382609]
City[nameCity=Huidong, nameCountry=China, latitude=22.985014, longitude=114.719988]
City[nameCity=Honglan, nameCountry=China, latitude=31.60858, longitude=118.983733]
City[nameCity=Huangzhuang, nameCountry=China, latitude=39.975999, longitude=116.317558]
City[nameCity=Pengfang, nameCountry=China, latitude=45.597839, longitude=126.637515]
City[nameCity=Jinhe, nameCountry=China, latitude=26.695419, longitude=101.841707]
City[nameCity=Hongsi, nameCountry=China, latitude=38.604702, longitude=100.825981]
City[nameCity=Wangzuo, nameCountry=China, latitude=23.12911, longitude=113.264385]
City[nameCity=Yiyang, nameCountry=China, latitude=28.55386, longitude=112.35518]
City[nameCity=Dachong, nameCountry=China, latitude=22.465063, longitude=113.300929]
City[nameCity=Yangji, nameCountry=China, latitude=42.891255, longitude=129.508945]
City[nameCity=Zhongbu, nameCountry=China, latitude=34.392963, longitude=104.063889]
City[nameCity=Wanquan, nameCountry=China, latitude=40.766965, longitude=114.740557]
City[nameCity=Yangxiang, nameCountry=China, latitude=24.348365, longitude=105.759939]
City[nameCity=Doumen, nameCountry=China, latitude=22.2092, longitude=113.296467]
