City[nameCity=Morales, nameCountry=Colombia, latitude=8.27533, longitude=-73.868176]
City[nameCity=Toluviejo, nameCountry=Colombia, latitude=9.452849, longitude=-75.4391349]
City[nameCity=Florencia, nameCountry=Colombia, latitude=1.683061, longitude=-77.072933]
City[nameCity=Zaragoza, nameCountry=Colombia, latitude=7.48688, longitude=-74.8672519]
City[nameCity=Cáceres, nameCountry=Colombia, latitude=7.579029, longitude=-75.349545]
City[nameCity=Chiscas, nameCountry=Colombia, latitude=6.552741, longitude=-72.5003179]
City[nameCity=Inírida, nameCountry=Colombia, latitude=3.856457, longitude=-68.2385339]
City[nameCity=Murindó, nameCountry=Colombia, latitude=6.7810505, longitude=-76.7798172]
City[nameCity=Belén de Umbría, nameCountry=Colombia, latitude=5.2351338, longitude=-75.8346203]
City[nameCity=Maceo, nameCountry=Colombia, latitude=6.551367, longitude=-74.787294]
City[nameCity=Chía, nameCountry=Colombia, latitude=4.8615787, longitude=-74.0325368]
City[nameCity=Leticia, nameCountry=Colombia, latitude=-4.203165, longitude=-69.935907]
City[nameCity=Cruces de Anorí, nameCountry=Colombia, latitude=7.18334, longitude=-75.06668]
City[nameCity=Pital, nameCountry=Colombia, latitude=2.266733, longitude=-75.803848]
