City[nameCity=Marseille, nameCountry=France, latitude=43.298735, longitude=5.3825978]
City[nameCity=Angers, nameCountry=France, latitude=48.8693156, longitude=2.3501981]
City[nameCity=Eaubonne, nameCountry=France, latitude=48.9897895, longitude=2.2868727]
City[nameCity=Dole, nameCountry=France, latitude=46.8525293, longitude=5.3618974]
City[nameCity=Saint-Grégoire, nameCountry=France, latitude=48.1504081, longitude=-1.6807958]
City[nameCity=Strasbourg, nameCountry=France, latitude=48.5966574, longitude=7.7744139]
City[nameCity=Besançon, nameCountry=France, latitude=47.278918, longitude=6.07097]
City[nameCity=Clermont-Ferrand, nameCountry=France, latitude=45.788378, longitude=3.1331436]
City[nameCity=Challans, nameCountry=France, latitude=46.8439197, longitude=-1.8718358]
City[nameCity=Perpignan, nameCountry=France, latitude=42.6962642, longitude=2.8797149]
City[nameCity=Nantes, nameCountry=France, latitude=47.2550409, longitude=-1.5401497]
City[nameCity=Claye-Souilly, nameCountry=France, latitude=48.9648089, longitude=2.6986517]
City[nameCity=Strasbourg, nameCountry=France, latitude=48.5851876, longitude=7.7342943]
City[nameCity=Limoges, nameCountry=France, latitude=45.521519, longitude=3.5276642]
City[nameCity=Saint-Avertin, nameCountry=France, latitude=47.3640936, longitude=0.7259705]
City[nameCity=Niort, nameCountry=France, latitude=46.3194856, longitude=-0.4546217]
City[nameCity=Évreux, nameCountry=France, latitude=49.0321605, longitude=1.2408185]
City[nameCity=Pau, nameCountry=France, latitude=43.2916776, longitude=-0.3696612]
City[nameCity=Beaune, nameCountry=France, latitude=47.3410322, longitude=1.1586866]
City[nameCity=Maromme, nameCountry=France, latitude=49.3061777, longitude=-0.5870032]
City[nameCity=Rueil-Malmaison, nameCountry=France, latitude=48.8708001, longitude=2.166848]
City[nameCity=Longjumeau, nameCountry=France, latitude=48.6939078, longitude=2.3491182]
City[nameCity=Saint-Ouen, nameCountry=France, latitude=46.5993244, longitude=-1.1457859]
City[nameCity=Le Mans, nameCountry=France, latitude=47.9956173, longitude=0.1924459]
City[nameCity=Bègles, nameCountry=France, latitude=44.7947734, longitude=-0.5339182]
City[nameCity=Lagnieu, nameCountry=France, latitude=45.8367628, longitude=5.2900333]
City[nameCity=Strasbourg, nameCountry=France, latitude=48.5851876, longitude=7.7342943]
City[nameCity=Villeurbanne, nameCountry=France, latitude=45.7646846, longitude=4.861724]
City[nameCity=Poligny, nameCountry=France, latitude=48.0395425, longitude=-0.705495]
City[nameCity=Mérignac, nameCountry=France, latitude=47.9544744, longitude=-2.0532343]
