City[nameCity=Cigalontang, nameCountry=Indonesia, latitude=-7.3059077, longitude=107.9768875]
City[nameCity=Doom, nameCountry=Indonesia, latitude=-6.922586, longitude=107.6060501]
City[nameCity=Magok, nameCountry=Indonesia, latitude=-6.2839964, longitude=106.7895416]
City[nameCity=Pakusari, nameCountry=Indonesia, latitude=-8.1677158, longitude=113.7751826]
City[nameCity=Sidamukti, nameCountry=Indonesia, latitude=-6.858925, longitude=108.2080973]
City[nameCity=Bungur, nameCountry=Indonesia, latitude=-6.1718076, longitude=106.8488128]
City[nameCity=Singaparna, nameCountry=Indonesia, latitude=-7.3571693, longitude=108.1132212]
City[nameCity=Sidamukti, nameCountry=Indonesia, latitude=-6.858925, longitude=108.2080973]
City[nameCity=Babantar, nameCountry=Indonesia, latitude=-7.1591357, longitude=108.3474974]
City[nameCity=Darungan, nameCountry=Indonesia, latitude=-7.7766561, longitude=112.1579249]
City[nameCity=Bokat, nameCountry=Indonesia, latitude=1.0725136, longitude=121.499885]
City[nameCity=Pasirjaya, nameCountry=Indonesia, latitude=-6.1788812, longitude=107.5209304]
City[nameCity=Lokatadho, nameCountry=Indonesia, latitude=-8.8143, longitude=121.2744]
City[nameCity=Tambarangan, nameCountry=Indonesia, latitude=-3.0181855, longitude=115.1592718]
City[nameCity=Kapinango, nameCountry=Indonesia, latitude=-6.4127, longitude=105.8625]
City[nameCity=Sitiarjo, nameCountry=Indonesia, latitude=-8.403309, longitude=112.673499]
City[nameCity=Lirung, nameCountry=Indonesia, latitude=3.9572072, longitude=126.6795425]
City[nameCity=Cidadap, nameCountry=Indonesia, latitude=-6.8639965, longitude=107.6067354]
City[nameCity=Krajan Kidul Rojopolo, nameCountry=Indonesia, latitude=-8.1356, longitude=113.3257]
City[nameCity=Cililitan, nameCountry=Indonesia, latitude=-6.2632684, longitude=106.8635643]
City[nameCity=Tubel, nameCountry=Indonesia, latitude=-8.4422524, longitude=124.1253751]
City[nameCity=Cipancur, nameCountry=Indonesia, latitude=-6.9623022, longitude=108.6383454]
City[nameCity=Likupang, nameCountry=Indonesia, latitude=1.672033, longitude=125.055298]
City[nameCity=Seren, nameCountry=Indonesia, latitude=-7.6838962, longitude=109.9764822]
City[nameCity=Weepangali, nameCountry=Indonesia, latitude=-9.4355285, longitude=119.2627176]
City[nameCity=Mari, nameCountry=Indonesia, latitude=-7.7469239, longitude=110.3729973]
City[nameCity=Rancaerang, nameCountry=Indonesia, latitude=-7.4231763, longitude=106.719766]
City[nameCity=Gununglajang, nameCountry=Indonesia, latitude=-6.9465, longitude=113.8331]
City[nameCity=Kukulu, nameCountry=Indonesia, latitude=-6.8909727, longitude=107.90367]
City[nameCity=Jatiraya, nameCountry=Indonesia, latitude=-6.3193858, longitude=106.7861804]
City[nameCity=Sugihmukti, nameCountry=Indonesia, latitude=-7.2026011, longitude=107.4558555]
City[nameCity=Paokmotong Utara, nameCountry=Indonesia, latitude=-8.6282191, longitude=116.4636472]
City[nameCity=Kolobolon, nameCountry=Indonesia, latitude=-10.7903678, longitude=123.1407761]
City[nameCity=Pangkungparuk, nameCountry=Indonesia, latitude=-8.2735418, longitude=114.8864193]
City[nameCity=Kranggan, nameCountry=Indonesia, latitude=-7.3, longitude=109.066667]
City[nameCity=Neglasari, nameCountry=Indonesia, latitude=-6.147133, longitude=106.6232359]
City[nameCity=Jami, nameCountry=Indonesia, latitude=-6.4045182, longitude=106.8341509]
City[nameCity=Lokokrangan, nameCountry=Indonesia, latitude=-8.255, longitude=116.2591]
City[nameCity=Maliiha, nameCountry=Indonesia, latitude=-9.5541709, longitude=119.0285355]
City[nameCity=Padurung, nameCountry=Indonesia, latitude=-6.5871, longitude=106.3903]
City[nameCity=Barusuda, nameCountry=Indonesia, latitude=-7.3506492, longitude=107.8317307]
City[nameCity=Kaca, nameCountry=Indonesia, latitude=-4.1471884, longitude=119.9191194]
City[nameCity=Pojok, nameCountry=Indonesia, latitude=-7.8169756, longitude=111.9790773]
City[nameCity=Nangkapayung, nameCountry=Indonesia, latitude=0.4994734, longitude=101.4095405]
City[nameCity=Jinanten, nameCountry=Indonesia, latitude=-6.8744345, longitude=111.5736596]
City[nameCity=Sedandang, nameCountry=Indonesia, latitude=-6.2649072, longitude=106.7567589]
City[nameCity=Krajan Karangsari, nameCountry=Indonesia, latitude=-8.2317168, longitude=112.5633485]
City[nameCity=Kadudampit, nameCountry=Indonesia, latitude=-6.8187124, longitude=106.947666]
City[nameCity=Gudang, nameCountry=Indonesia, latitude=-7.266667, longitude=111.866667]
City[nameCity=Krajan, nameCountry=Indonesia, latitude=-7.5450262, longitude=111.6556388]
City[nameCity=Biris Daja, nameCountry=Indonesia, latitude=-7.15376, longitude=113.51969]
City[nameCity=Pinggirsari, nameCountry=Indonesia, latitude=-7.0837462, longitude=107.6540877]
City[nameCity=Warungtanjung, nameCountry=Indonesia, latitude=3.5053306, longitude=98.6783333]
City[nameCity=Plandirejo, nameCountry=Indonesia, latitude=-8.2795949, longitude=112.0327329]
City[nameCity=Guwoterus, nameCountry=Indonesia, latitude=-6.9460598, longitude=111.8151245]
City[nameCity=Babakan, nameCountry=Indonesia, latitude=-6.588201, longitude=106.804564]
City[nameCity=Wakduwa’ Barat, nameCountry=Indonesia, latitude=-6.9394, longitude=113.5273]
City[nameCity=Gunungpeundeuy, nameCountry=Indonesia, latitude=-7.5691667, longitude=107.9047222]
