City[nameCity=Chigasaki, nameCountry=Japan, latitude=35.3372599, longitude=139.4046734]
City[nameCity=Tarui, nameCountry=Japan, latitude=34.3726258, longitude=135.2621426]
City[nameCity=Fukuyama, nameCountry=Japan, latitude=38.988364, longitude=139.9488853]
City[nameCity=Hitachi, nameCountry=Japan, latitude=36.6287219, longitude=140.6618666]
City[nameCity=Ōi, nameCountry=Japan, latitude=35.6046794, longitude=139.730028]
City[nameCity=Furukawa, nameCountry=Japan, latitude=37.3844286, longitude=140.3940646]
City[nameCity=Koga, nameCountry=Japan, latitude=32.9320578, longitude=130.5063545]
City[nameCity=Moriyama, nameCountry=Japan, latitude=35.1973352, longitude=136.9552596]
City[nameCity=Kitaibaraki, nameCountry=Japan, latitude=36.7818033, longitude=140.7299857]
City[nameCity=Yūki, nameCountry=Japan, latitude=36.3034445, longitude=139.8755526]
City[nameCity=Ujiie, nameCountry=Japan, latitude=36.6839265, longitude=139.9649414]
City[nameCity=Haebaru, nameCountry=Japan, latitude=26.3358903, longitude=127.875104]
City[nameCity=Shiogama, nameCountry=Japan, latitude=38.5261686, longitude=141.0953438]
City[nameCity=Noda, nameCountry=Japan, latitude=38.428549, longitude=140.3584644]
City[nameCity=Fujieda, nameCountry=Japan, latitude=34.8702789, longitude=138.2530386]
City[nameCity=Inashiki, nameCountry=Japan, latitude=37.165779, longitude=136.7095801]
City[nameCity=Ryōtsu-minato, nameCountry=Japan, latitude=38.0775948, longitude=138.439631]
City[nameCity=Yotsukaidō, nameCountry=Japan, latitude=35.662808, longitude=140.164927]
City[nameCity=Itami, nameCountry=Japan, latitude=34.7791206, longitude=135.4203895]
City[nameCity=Shiroishi, nameCountry=Japan, latitude=37.136977, longitude=140.4367415]
City[nameCity=Sagara, nameCountry=Japan, latitude=34.6850948, longitude=138.1992472]
City[nameCity=Hiji, nameCountry=Japan, latitude=26.7255231, longitude=128.1765722]
City[nameCity=Shibata, nameCountry=Japan, latitude=34.705939, longitude=135.4972513]
City[nameCity=Ebetsu, nameCountry=Japan, latitude=43.0641899, longitude=141.4864943]
City[nameCity=Aomori Shi, nameCountry=Japan, latitude=33.5449468, longitude=131.4194175]
City[nameCity=Iwaki, nameCountry=Japan, latitude=38.4507739, longitude=140.3089223]
City[nameCity=Zushi, nameCountry=Japan, latitude=34.82828, longitude=135.6292708]
City[nameCity=Kadoma, nameCountry=Japan, latitude=34.7385063, longitude=135.5737861]
