City[nameCity=Madara, nameCountry=Nigeria, latitude=11.7775345, longitude=10.4494906]
City[nameCity=Ibeto, nameCountry=Nigeria, latitude=10.4853153, longitude=5.1458131]
City[nameCity=Igbo-Ukwu, nameCountry=Nigeria, latitude=6.0122865, longitude=7.0175879]
City[nameCity=Kafarati, nameCountry=Nigeria, latitude=10.3840217, longitude=11.0966373]
City[nameCity=Adani, nameCountry=Nigeria, latitude=6.7367367, longitude=7.0014657]
City[nameCity=Runka, nameCountry=Nigeria, latitude=12.4525749, longitude=7.3071075]
City[nameCity=Obubra, nameCountry=Nigeria, latitude=6.085685, longitude=8.3280086]
City[nameCity=Kaltungo, nameCountry=Nigeria, latitude=9.8422682, longitude=11.3885001]
City[nameCity=Oguta, nameCountry=Nigeria, latitude=5.7055314, longitude=6.8083063]
City[nameCity=Igbeti, nameCountry=Nigeria, latitude=8.7531549, longitude=4.1360234]
City[nameCity=Kagoro, nameCountry=Nigeria, latitude=9.614603, longitude=8.39358]
City[nameCity=Oyo, nameCountry=Nigeria, latitude=7.8429579, longitude=3.9368439]
City[nameCity=Konduga, nameCountry=Nigeria, latitude=11.6485321, longitude=13.4193903]
City[nameCity=Mekkaw, nameCountry=Nigeria, latitude=7.45, longitude=2.85]
City[nameCity=Benisheikh, nameCountry=Nigeria, latitude=11.804149, longitude=12.5183307]
