City[nameCity=Chocope, nameCountry=Peru, latitude=-7.7911198, longitude=-79.2197376]
City[nameCity=Cajacay, nameCountry=Peru, latitude=-10.1555651, longitude=-77.4397297]
City[nameCity=Ollantaytambo, nameCountry=Peru, latitude=-13.2583689, longitude=-72.2642679]
City[nameCity=Cachachi, nameCountry=Peru, latitude=-7.4509461, longitude=-78.2696832]
City[nameCity=San Miguel de Cauri, nameCountry=Peru, latitude=-10.10712, longitude=-76.601273]
City[nameCity=Estique, nameCountry=Peru, latitude=-17.543301, longitude=-70.017471]
City[nameCity=Duraznopampa, nameCountry=Peru, latitude=-6.5581455, longitude=-77.815285]
City[nameCity=Nanchoc, nameCountry=Peru, latitude=-6.9592677, longitude=-79.2420766]
City[nameCity=Arma, nameCountry=Peru, latitude=-12.09985, longitude=-77.0197479]
City[nameCity=Tomay Kichwa, nameCountry=Peru, latitude=-10.07722, longitude=-76.21194]
City[nameCity=Choco, nameCountry=Peru, latitude=-15.576624, longitude=-72.1293262]
City[nameCity=Pancan, nameCountry=Peru, latitude=-11.748639, longitude=-75.4854472]
City[nameCity=Cuenca, nameCountry=Peru, latitude=-12.0575891, longitude=-76.9423651]
City[nameCity=Pomabamba, nameCountry=Peru, latitude=-8.8228089, longitude=-77.4569804]
City[nameCity=Tambo, nameCountry=Peru, latitude=-12.95689, longitude=-74.023193]
City[nameCity=Pampas, nameCountry=Peru, latitude=-12.3992902, longitude=-74.8659421]
City[nameCity=Callao, nameCountry=Peru, latitude=-12.0508491, longitude=-77.1259843]
City[nameCity=Arenal, nameCountry=Peru, latitude=-4.8905153, longitude=-81.0368211]
