City[nameCity=Tipolo, nameCountry=Philippines, latitude=10.333833, longitude=123.9266643]
City[nameCity=Himensulan, nameCountry=Philippines, latitude=14.6171091, longitude=120.986275]
City[nameCity=Bulalacao, nameCountry=Philippines, latitude=12.3437798, longitude=121.3345788]
City[nameCity=Busdi, nameCountry=Philippines, latitude=8.32726, longitude=125.2297211]
City[nameCity=Zamboanguita, nameCountry=Philippines, latitude=9.0965232, longitude=123.1989242]
City[nameCity=Alupay, nameCountry=Philippines, latitude=14.6110296, longitude=120.9962387]
City[nameCity=Nangka, nameCountry=Philippines, latitude=14.6701, longitude=121.108226]
City[nameCity=Panganiban, nameCountry=Philippines, latitude=13.9062958, longitude=124.3040904]
City[nameCity=Cogtong, nameCountry=Philippines, latitude=9.8220686, longitude=124.5140325]
City[nameCity=Pung-Pang, nameCountry=Philippines, latitude=16.0432035, longitude=119.9370328]
City[nameCity=Aurelliana, nameCountry=Philippines, latitude=10.8847156, longitude=121.9757838]
City[nameCity=Panganiban, nameCountry=Philippines, latitude=13.9062958, longitude=124.3040904]
City[nameCity=Gabao, nameCountry=Philippines, latitude=17.2660394, longitude=120.4194593]
City[nameCity=Nanyo, nameCountry=Philippines, latitude=7.3400337, longitude=125.6321356]
City[nameCity=Paulba, nameCountry=Philippines, latitude=13.1870854, longitude=123.4572574]
City[nameCity=Tambac, nameCountry=Philippines, latitude=16.0464514, longitude=120.3542849]
City[nameCity=Tigpalay, nameCountry=Philippines, latitude=7.4854917, longitude=122.3399664]
City[nameCity=Balayan, nameCountry=Philippines, latitude=13.9686682, longitude=120.7285858]
City[nameCity=Santa Ana, nameCountry=Philippines, latitude=18.41253, longitude=122.133225]
City[nameCity=Santa Fe, nameCountry=Philippines, latitude=11.1856085, longitude=124.9202302]
City[nameCity=Kalbugan, nameCountry=Philippines, latitude=7.0570002, longitude=124.7009964]
City[nameCity=San Antonio, nameCountry=Philippines, latitude=14.5508865, longitude=121.0075554]
City[nameCity=Ambulong, nameCountry=Philippines, latitude=11.9528558, longitude=121.9311073]
City[nameCity=Sankanan, nameCountry=Philippines, latitude=8.3141383, longitude=124.8551784]
City[nameCity=Carmen, nameCountry=Philippines, latitude=7.20312, longitude=124.796217]
City[nameCity=Lugo, nameCountry=Philippines, latitude=10.8117907, longitude=123.9251851]
City[nameCity=Balungao, nameCountry=Philippines, latitude=15.8983567, longitude=120.7162377]
City[nameCity=Makato, nameCountry=Philippines, latitude=11.6994751, longitude=122.2790551]
City[nameCity=Tawan tawan, nameCountry=Philippines, latitude=7.8182993, longitude=122.6727616]
City[nameCity=Manabo, nameCountry=Philippines, latitude=17.3911787, longitude=120.7295465]
City[nameCity=Caramay, nameCountry=Philippines, latitude=10.1866432, longitude=119.232122]
City[nameCity=Naguilian, nameCountry=Philippines, latitude=14.7292218, longitude=121.051001]
City[nameCity=Castilla, nameCountry=Philippines, latitude=14.6087807, longitude=121.0334173]
City[nameCity=Malabago, nameCountry=Philippines, latitude=15.9754252, longitude=120.3554727]
City[nameCity=Hinunangan, nameCountry=Philippines, latitude=10.385548, longitude=125.213831]
City[nameCity=Tambak, nameCountry=Philippines, latitude=13.9743478, longitude=121.6910432]
City[nameCity=Robonkon, nameCountry=Philippines, latitude=8.1679082, longitude=124.1582966]
City[nameCity=Langpas, nameCountry=Philippines, latitude=6.0, longitude=120.9666672]
City[nameCity=Halayhay, nameCountry=Philippines, latitude=14.3705235, longitude=120.8168869]
City[nameCity=Tanudan, nameCountry=Philippines, latitude=17.2906593, longitude=121.1666679]
City[nameCity=Songculan, nameCountry=Philippines, latitude=9.6365101, longitude=123.8536209]
City[nameCity=Mailag, nameCountry=Philippines, latitude=7.9855625, longitude=125.1375831]
City[nameCity=Antipolo, nameCountry=Philippines, latitude=14.5697565, longitude=121.0247172]
City[nameCity=Calingcuan, nameCountry=Philippines, latitude=15.399652, longitude=120.5982723]
