City[nameCity=Sypniewo, nameCountry=Poland, latitude=53.0155306, longitude=21.3375451]
City[nameCity=Lelkowo, nameCountry=Poland, latitude=54.3484483, longitude=20.168727]
City[nameCity=Dębno, nameCountry=Poland, latitude=52.746302, longitude=14.7015401]
City[nameCity=Morawica, nameCountry=Poland, latitude=50.0751139, longitude=19.7530653]
City[nameCity=Mętków, nameCountry=Poland, latitude=50.051293, longitude=19.372452]
City[nameCity=Kamieniec Ząbkowicki, nameCountry=Poland, latitude=50.5251922, longitude=16.8791589]
City[nameCity=Bierawa, nameCountry=Poland, latitude=50.282951, longitude=18.2785364]
City[nameCity=Rybnik, nameCountry=Poland, latitude=50.085781, longitude=18.5296459]
City[nameCity=Wieniawa, nameCountry=Poland, latitude=51.3613799, longitude=20.7949705]
City[nameCity=Pewel Wielka, nameCountry=Poland, latitude=49.6574026, longitude=19.4151148]
City[nameCity=Rzozów, nameCountry=Poland, latitude=49.9514305, longitude=19.7973419]
City[nameCity=Milicz, nameCountry=Poland, latitude=51.5275957, longitude=17.2712122]
City[nameCity=Murowana Goślina, nameCountry=Poland, latitude=52.55694, longitude=17.0351289]
City[nameCity=Lututów, nameCountry=Poland, latitude=51.3541936, longitude=18.4554178]
City[nameCity=Ceranów, nameCountry=Poland, latitude=52.6567115, longitude=22.2089639]
City[nameCity=Wijewo, nameCountry=Poland, latitude=51.9075123, longitude=16.2061552]
City[nameCity=Radom, nameCountry=Poland, latitude=52.8551656, longitude=16.7522057]
City[nameCity=Łubowo, nameCountry=Poland, latitude=53.5862715, longitude=16.3876584]
City[nameCity=Poręba Spytkowska, nameCountry=Poland, latitude=49.902219, longitude=20.636949]
City[nameCity=Krzeszów, nameCountry=Poland, latitude=50.7338713, longitude=16.0708309]
City[nameCity=Jarocin, nameCountry=Poland, latitude=50.562666, longitude=22.3233329]
City[nameCity=Wyszków, nameCountry=Poland, latitude=52.5928523, longitude=21.458395]
City[nameCity=Bobowo, nameCountry=Poland, latitude=53.8819853, longitude=18.5517476]
City[nameCity=Łęczyce, nameCountry=Poland, latitude=54.5941065, longitude=17.8604786]
City[nameCity=Podedwórze, nameCountry=Poland, latitude=51.6878774, longitude=23.1996378]
City[nameCity=Ruda-Huta, nameCountry=Poland, latitude=51.2358934, longitude=23.5939963]
City[nameCity=Byczyna, nameCountry=Poland, latitude=51.11327, longitude=18.21114]
City[nameCity=Złota, nameCountry=Poland, latitude=49.8799472, longitude=20.6937448]
City[nameCity=Aleksandrów, nameCountry=Poland, latitude=51.2568887, longitude=19.9864728]
City[nameCity=Drezdenko, nameCountry=Poland, latitude=52.83797, longitude=15.83104]
City[nameCity=Zwierzyniec, nameCountry=Poland, latitude=50.61404, longitude=22.97512]
City[nameCity=Maszkienice, nameCountry=Poland, latitude=49.988725, longitude=20.7001411]
City[nameCity=Pisz, nameCountry=Poland, latitude=53.8044834, longitude=21.7303948]
City[nameCity=Wiślica, nameCountry=Poland, latitude=50.3483062, longitude=20.6741631]
City[nameCity=Wąsosz, nameCountry=Poland, latitude=51.5623852, longitude=16.69165]
City[nameCity=Jawor, nameCountry=Poland, latitude=51.4633686, longitude=19.0896399]
City[nameCity=Pruchnik, nameCountry=Poland, latitude=49.9061322, longitude=22.5155104]
City[nameCity=Lisków, nameCountry=Poland, latitude=51.8326054, longitude=18.3984345]
City[nameCity=Osielec, nameCountry=Poland, latitude=49.6805192, longitude=19.7822663]
City[nameCity=Nowe Miasto nad Pilicą, nameCountry=Poland, latitude=51.62883, longitude=20.52487]
