City[nameCity=Lameira, nameCountry=Portugal, latitude=41.0652035, longitude=-8.2418412]
City[nameCity=Pinhal da Marquesa, nameCountry=Portugal, latitude=38.5904096, longitude=-8.9994843]
City[nameCity=Manhete, nameCountry=Portugal, latitude=41.5485587, longitude=-8.5825398]
City[nameCity=Avanca, nameCountry=Portugal, latitude=40.8024339, longitude=-8.5959634]
City[nameCity=Albergaria, nameCountry=Portugal, latitude=40.1694467, longitude=-8.4784931]
City[nameCity=Brejieira, nameCountry=Portugal, latitude=39.764261, longitude=-8.7386338]
City[nameCity=Murça, nameCountry=Portugal, latitude=41.1013753, longitude=-7.2325243]
City[nameCity=Vilarinho da Castanheira, nameCountry=Portugal, latitude=41.2044165, longitude=-7.2153847]
City[nameCity=Barreira, nameCountry=Portugal, latitude=41.2106113, longitude=-8.5404451]
City[nameCity=Fraga, nameCountry=Portugal, latitude=41.136319, longitude=-8.2053479]
City[nameCity=Castanheira, nameCountry=Portugal, latitude=41.3119638, longitude=-8.151597]
City[nameCity=Costa de Rios Frios, nameCountry=Portugal, latitude=40.280218, longitude=-8.4788248]
City[nameCity=Santa Cristina Couto, nameCountry=Portugal, latitude=41.3258441, longitude=-8.4786662]
City[nameCity=Luso, nameCountry=Portugal, latitude=40.3853464, longitude=-8.380125]
City[nameCity=Astromil, nameCountry=Portugal, latitude=41.1961503, longitude=-8.4156809]
City[nameCity=Machico, nameCountry=Portugal, latitude=32.715164, longitude=-16.765857]
City[nameCity=Ponte, nameCountry=Portugal, latitude=40.6785202, longitude=-8.2792695]
City[nameCity=Maganha, nameCountry=Portugal, latitude=41.3351832, longitude=-8.6022276]
City[nameCity=Amieira do Tejo, nameCountry=Portugal, latitude=39.5093131, longitude=-7.8148208]
City[nameCity=Barra Cheia, nameCountry=Portugal, latitude=38.6134405, longitude=-9.0019336]
City[nameCity=Santa Maria do Souto, nameCountry=Portugal, latitude=41.5146956, longitude=-8.2971003]
City[nameCity=Montinho, nameCountry=Portugal, latitude=41.1241415, longitude=-8.2082378]
City[nameCity=Morgados, nameCountry=Portugal, latitude=38.5642115, longitude=-9.0940605]
City[nameCity=Silgueiros, nameCountry=Portugal, latitude=40.7143433, longitude=-8.0108755]
City[nameCity=Belverde, nameCountry=Portugal, latitude=38.6015735, longitude=-9.1396466]
City[nameCity=Quintães, nameCountry=Portugal, latitude=41.5175253, longitude=-8.6009313]
City[nameCity=Riba de Ave, nameCountry=Portugal, latitude=41.385858, longitude=-8.3854178]
City[nameCity=Porto de Mós, nameCountry=Portugal, latitude=39.6022749, longitude=-8.8165669]
City[nameCity=Souto, nameCountry=Portugal, latitude=41.5608072, longitude=-8.5863716]
City[nameCity=Vide, nameCountry=Portugal, latitude=20.6518868, longitude=-105.2061347]
City[nameCity=São Pedro, nameCountry=Portugal, latitude=40.1271927, longitude=-8.8576516]
City[nameCity=Laveiras, nameCountry=Portugal, latitude=38.708348, longitude=-9.2716405]
City[nameCity=Passos, nameCountry=Portugal, latitude=41.5654743, longitude=-8.408069]
City[nameCity=Beja, nameCountry=Portugal, latitude=38.0208091, longitude=-7.8554287]
