City[nameCity=Karlskoga, nameCountry=Sweden, latitude=59.3216049, longitude=14.5216278]
City[nameCity=Norberg, nameCountry=Sweden, latitude=60.0702076, longitude=15.9334948]
City[nameCity=Örbyhus, nameCountry=Sweden, latitude=60.1386576, longitude=17.6375865]
City[nameCity=Stockholm, nameCountry=Sweden, latitude=59.343546, longitude=18.029487]
City[nameCity=Stockholm, nameCountry=Sweden, latitude=59.3326658, longitude=18.056792]
City[nameCity=Sundbyberg, nameCountry=Sweden, latitude=59.3606836, longitude=17.9701456]
City[nameCity=Solna, nameCountry=Sweden, latitude=59.3771328, longitude=18.0104218]
City[nameCity=Själevad, nameCountry=Sweden, latitude=63.2994414, longitude=18.5988916]
City[nameCity=Huddinge, nameCountry=Sweden, latitude=59.2234099, longitude=17.9436913]
City[nameCity=Trosa, nameCountry=Sweden, latitude=58.8946515, longitude=17.5331351]
City[nameCity=Eskilstuna, nameCountry=Sweden, latitude=59.3781172, longitude=16.5102565]
City[nameCity=Åmål, nameCountry=Sweden, latitude=59.0541421, longitude=12.695366]
City[nameCity=Gimo, nameCountry=Sweden, latitude=60.1734181, longitude=18.1771765]
City[nameCity=Skärholmen, nameCountry=Sweden, latitude=59.272573, longitude=17.917045]
City[nameCity=Täby, nameCountry=Sweden, latitude=59.4935321, longitude=18.0655876]
City[nameCity=Enköping, nameCountry=Sweden, latitude=59.5721558, longitude=17.5208372]
City[nameCity=Stockholm, nameCountry=Sweden, latitude=59.3092322, longitude=18.0807273]
City[nameCity=Arboga, nameCountry=Sweden, latitude=59.3917649, longitude=15.8447572]
City[nameCity=Gränna, nameCountry=Sweden, latitude=58.0250234, longitude=14.4700948]
City[nameCity=Tomelilla, nameCountry=Sweden, latitude=55.5480165, longitude=13.931553]
City[nameCity=Munkedal, nameCountry=Sweden, latitude=58.4592933, longitude=11.6761027]
City[nameCity=Stockholm, nameCountry=Sweden, latitude=59.7411336, longitude=18.3453989]
City[nameCity=Helsingborg, nameCountry=Sweden, latitude=56.0212332, longitude=12.7210712]
