City[nameCity=Kham Sakae Saeng, nameCountry=Thailand, latitude=15.3745452, longitude=102.1861447]
City[nameCity=Rat Burana, nameCountry=Thailand, latitude=13.6730341, longitude=100.5014909]
City[nameCity=Betong, nameCountry=Thailand, latitude=5.7799851, longitude=101.0372376]
City[nameCity=Mae Wang, nameCountry=Thailand, latitude=18.6796993, longitude=98.6380598]
City[nameCity=Bang Bo, nameCountry=Thailand, latitude=13.5847649, longitude=100.851776]
City[nameCity=Sop Moei, nameCountry=Thailand, latitude=17.9341079, longitude=97.9157099]
City[nameCity=Khao Yoi, nameCountry=Thailand, latitude=13.2394415, longitude=99.7901781]
City[nameCity=Udon Thani, nameCountry=Thailand, latitude=17.4086426, longitude=102.7729369]
City[nameCity=Thoen, nameCountry=Thailand, latitude=17.6143085, longitude=99.195529]
City[nameCity=Wiset Chaichan, nameCountry=Thailand, latitude=16.8164157, longitude=100.270206]
City[nameCity=Lue Amnat, nameCountry=Thailand, latitude=15.7015084, longitude=104.6448531]
City[nameCity=Kaeng Khoi, nameCountry=Thailand, latitude=14.5801157, longitude=101.003522]
City[nameCity=Loei, nameCountry=Thailand, latitude=17.4605379, longitude=101.7523854]
City[nameCity=Khu Khan, nameCountry=Thailand, latitude=15.1089475, longitude=104.329829]
City[nameCity=Nakhon Nayok, nameCountry=Thailand, latitude=14.0786882, longitude=101.0259275]
City[nameCity=Mae Ramat, nameCountry=Thailand, latitude=17.0597577, longitude=98.6160674]
City[nameCity=Santi Suk, nameCountry=Thailand, latitude=18.7915629, longitude=100.7832784]
