City[nameCity=Korosten’, nameCountry=Ukraine, latitude=50.9532135, longitude=28.6457544]
City[nameCity=Khotiv, nameCountry=Ukraine, latitude=50.3290055, longitude=30.4617625]
City[nameCity=Zhuravka, nameCountry=Ukraine, latitude=49.7877327, longitude=37.1720386]
City[nameCity=Oster, nameCountry=Ukraine, latitude=50.9486162, longitude=30.8786768]
City[nameCity=Lyubeshiv, nameCountry=Ukraine, latitude=51.7550673, longitude=25.498235]
City[nameCity=Chornukhy, nameCountry=Ukraine, latitude=50.274287, longitude=32.9356191]
City[nameCity=Velikiye Borki, nameCountry=Ukraine, latitude=49.5236512, longitude=25.7558517]
City[nameCity=Kaniv, nameCountry=Ukraine, latitude=49.751033, longitude=31.4697]
City[nameCity=Oleksandriya, nameCountry=Ukraine, latitude=48.6632704, longitude=33.0967875]
City[nameCity=Rozkishne, nameCountry=Ukraine, latitude=48.4902808, longitude=39.2712224]
City[nameCity=Tukhlya, nameCountry=Ukraine, latitude=48.9234517, longitude=23.4793196]
City[nameCity=Petrikov, nameCountry=Ukraine, latitude=49.5290136, longitude=25.5783873]
City[nameCity=Sokyryany, nameCountry=Ukraine, latitude=48.4495656, longitude=27.4110397]
City[nameCity=Voloka, nameCountry=Ukraine, latitude=48.1944728, longitude=25.9320036]
