cityName,countryName,latitude,longitude
Boyeros,Cuba,22.9861757,-82.4102628
Virden,Canada,49.8508,-100.93262
Virje,Croatia,46.0473698,16.9785233
Sypniewo,Poland,53.0155306,21.3375451
Cigalontang,Indonesia,-7.3059077,107.9768875
Lelkowo,Poland,54.3484483,20.168727
Stamford,United States,41.05,-73.54
Jijiang,China,24.781681,118.552365
Doom,Indonesia,-6.922586,107.6060501
Korosten’,Ukraine,50.9532135,28.6457544
Lianzhou,China,24.780966,112.377361
Xiaochuan,China,52.54952,13.35118
Magok,Indonesia,-6.2839964,106.7895416
Marseille,France,43.298735,5.3825978
Prince Rupert,Canada,54.311687,-130.3293111
Sidi Slimane,Morocco,34.2622961,-5.9239749
Khotiv,Ukraine,50.3290055,30.4617625
Angers,France,48.8693156,2.3501981
Buchanan,Liberia,5.887247,-10.0303723
Ordzhonikidzevskaya,Russia,43.3213308,45.044839
Pakusari,Indonesia,-8.1677158,113.7751826
Trần Văn Thời,Vietnam,9.1009716,104.8921668
Sidamukti,Indonesia,-6.858925,108.2080973
Drammen,Norway,59.7414102,10.2299413
Karlskoga,Sweden,59.3216049,14.5216278
Nianyushan,China,29.205856,117.11078
Yangzhuang,China,22.9550072,113.0126011
Lameira,Portugal,41.0652035,-8.2418412
Qinggang,China,46.689671,126.11386
Bungur,Indonesia,-6.1718076,106.8488128
Krasnyy Kholm,Russia,58.0580802,37.1162575
Pinhal da Marquesa,Portugal,38.5904096,-8.9994843
Pridonskoy,Russia,51.6521236,39.0891762
Xiaopu,China,26.885704,120.005147
Morales,Colombia,8.27533,-73.868176
Singaparna,Indonesia,-7.3571693,108.1132212
Changtan,China,24.64995,116.156645
Xinlong,China,30.939169,100.311368
Wucheng,China,29.086221,119.571633
Poljčane,Slovenia,46.3141609,15.5784672
Erie,United States,42.0722039,-80.0964415
Huxingshan,China,27.542493,110.702501
Soure,Brazil,-0.5083679,-48.6388879
Yaroslavskiy,Russia,55.8817076,37.720392
Guaratinguetá,Brazil,-22.8140057,-45.1904004
Gondar,Ethiopia,12.6030181,37.4521319
Eaubonne,France,48.9897895,2.2868727
Umm Sa‘īd,Qatar,24.9909255,51.5493483
Chengxiang,China,25.419319,118.993885
Tipolo,Philippines,10.333833,123.9266643
Psygansu,Russia,43.4136328,43.7924407
Norberg,Sweden,60.0702076,15.9334948
Himensulan,Philippines,14.6171091,120.986275
Чегране,Macedonia,41.833253,20.974874
Ambam,Cameroon,2.3815417,11.2665498
Zhuravka,Ukraine,49.7877327,37.1720386
Santa Cruz,Honduras,14.9817467,-87.8893383
Sidamukti,Indonesia,-6.858925,108.2080973
El Vigía,Venezuela,8.6144269,-71.6554692
Dębno,Poland,52.746302,14.7015401
Lizhuang,China,28.805453,104.802326
Lalmanirhat,Bangladesh,25.9923398,89.2847251
Matozinhos,Brazil,-19.5547969,-44.0871994
Bulalacao,Philippines,12.3437798,121.3345788
Babantar,Indonesia,-7.1591357,108.3474974
Madara,Nigeria,11.7775345,10.4494906
Kham Sakae Saeng,Thailand,15.3745452,102.1861447
Rat Burana,Thailand,13.6730341,100.5014909
Busdi,Philippines,8.32726,125.2297211
Darungan,Indonesia,-7.7766561,112.1579249
Bokat,Indonesia,1.0725136,121.499885
Tangchi,China,46.987383,123.769368
Zamboanguita,Philippines,9.0965232,123.1989242
Gaokan,China,40.628952,122.511257
Morawica,Poland,50.0751139,19.7530653
Tsiombe,Madagascar,-25.3168473,45.4863093
Manhete,Portugal,41.5485587,-8.5825398
Banyue,China,28.2586882,108.1171371
Pasirjaya,Indonesia,-6.1788812,107.5209304
Chigasaki,Japan,35.3372599,139.4046734
Chocope,Peru,-7.7911198,-79.2197376
Örbyhus,Sweden,60.1386576,17.6375865
Beidu,China,26.235575,100.874336
Yuelai,China,29.72277,106.53519
Lugouqiao,China,39.8502497,116.2190658
Ujmisht,Albania,41.9238499,20.3755648
Lokatadho,Indonesia,-8.8143,121.2744
Tambarangan,Indonesia,-3.0181855,115.1592718
Avanca,Portugal,40.8024339,-8.5959634
Fankeng,China,27.300683,119.727073
Laborde,Argentina,-31.324922,-64.2942977
Xialaxiu,China,32.663268,96.609741
Toluviejo,Colombia,9.452849,-75.4391349
Kapinango,Indonesia,-6.4127,105.8625
Sitiarjo,Indonesia,-8.403309,112.673499
Lirung,Indonesia,3.9572072,126.6795425
Mętków,Poland,50.051293,19.372452
Bārah,Sudan,13.6986477,30.3723741
Alupay,Philippines,14.6110296,120.9962387
Shuiquan,China,35.640089,103.766427
Cidadap,Indonesia,-6.8639965,107.6067354
Horní Lideč,Czech Republic,49.181214,18.0610035
Stari Banovci,Serbia,44.9878037,20.2567012
Florencia,Colombia,1.683061,-77.072933
Kamieniec Ząbkowicki,Poland,50.5251922,16.8791589
Nangka,Philippines,14.6701,121.108226
Loma,Sierra Leone,9.1666667,-11.1166667
Hövsan,Azerbaijan,40.3802589,50.0918078
Dole,France,46.8525293,5.3618974
Fuquan,China,26.686335,107.520386
Krajan Kidul Rojopolo,Indonesia,-8.1356,113.3257
Gubskaya,Russia,44.3204868,40.6203439
Saint-Grégoire,France,48.1504081,-1.6807958
Strasbourg,France,48.5966574,7.7744139
Ilām,Nepal,26.9111769,87.9236747
Kenzhe,Russia,43.4997666,43.5537167
Yuetang,China,27.872028,112.969479
Nueve de Julio,Argentina,-32.947692,-60.6743215
Taiping,China,53.3004898,-6.2634596
Benniu,China,31.912048,119.783935
Lāchi,Pakistan,31.5555726,74.3925525
Mbale,Kenya,1.0784436,34.1810057
Qinggou,China,36.067108,120.382609
Portland,United States,45.5155832,-122.6788535
Tarui,Japan,34.3726258,135.2621426
Bayanaūyl,Kazakhstan,51.1656869,71.4439333
Drayton Valley,Canada,53.2214074,-114.9766785
Huidong,China,22.985014,114.719988
Honglan,China,31.60858,118.983733
Ad Darbāsīyah,Syria,37.0721008,40.6524512
Huangzhuang,China,39.975999,116.317558
Pengfang,China,45.597839,126.637515
Jinhe,China,26.695419,101.841707
Cajacay,Peru,-10.1555651,-77.4397297
Fukuyama,Japan,38.988364,139.9488853
Cililitan,Indonesia,-6.2632684,106.8635643
Selouane,Morocco,35.0801925,-2.9475662
Longford,Ireland,53.7283566,-7.8004329
Sandvika,Norway,59.021857,10.083357
Tubel,Indonesia,-8.4422524,124.1253751
5 de Mayo,Mexico,19.2874648,-99.6494479
Raglan,New Zealand,-37.8268291,174.7994271
Navoiy,Uzbekistan,40.103922,65.3688335
Oster,Ukraine,50.9486162,30.8786768
Nāḩiyat Hīrān,Iraq,36.27815,44.49332
Hongsi,China,38.604702,100.825981
Ipoh,Malaysia,4.6096768,101.1064003
Thị Trấn Yên Thịnh,Vietnam,18.178456,105.7028457
Wangzuo,China,23.12911,113.264385
Cipancur,Indonesia,-6.9623022,108.6383454
