mobileBrand,mobileModel,mobileOS,mobileRelease,mobilePrice
QMobile,QMobile M6 Lite,Android 6.0,2017,466.95
vivo,vivo Y67,"Android 6.0, Funtouch 2.6",2016,1649.45
Amoi,Amoi A9B,Feature phone,2003,3299.45
Celkon,Celkon A77,Android 2.3,2012,1924.45
ZTE,ZTE Max XL,Android 7.1.1,2017,1099.45
Eten,Eten glofiish M700,Microsoft Windows Mobile 5.0 PocketPC,2006,345.95
Sony,Sony Ericsson Xperia Neo,"Android 2.3.4, up to 4.0",2011,235.95
Tecno,Tecno Phantom 8,Android 7.0,2018,219.45
Honor,Honor View30,"Android 10, Magic UI 3",2020,7149.45
vivo,vivo V19 (Indonesia),"Android 10, Funtouch 10.0",2020,1924.45
Realme,Realme C3 (3 cameras),"Android 10, Realme UI",2020,180.95
Samsung,Samsung S5780 Wave 578,bada 1.1,2011,1374.45
Allview,Allview E3 Living,Android 5.1,2015,1374.45
Nokia,Nokia N81,"Symbian OS 9.2, Series 60 v3.1 UI",2007,824.45
verykool,verykool SL5000 Quantum,Android 4.4.2,2014,714.45
Samsung,Samsung Galaxy Xcover Pro,"Android 10, up to Android 11, One UI 3.0",2020,2199.45
Samsung,Samsung Galaxy Tab 4 8.0 LTE,Android 4.4.2,2014,136.95
alcatel,alcatel Pop Fit,Android 4.2.2,0,1099.45
Samsung,Samsung Galaxy A50s,"Android 9.0, up to Android 10, One UI 2.5",2019,1649.45
verykool,verykool i650,Feature phone,2011,3299.45
Asus,Asus Memo Pad 7 ME572C,Android 4.4.2,2014,4399.45
BLU,BLU Studio Mini,Android 9.0,2019,235.95
i-mate,i-mate SPJAS,Microsoft Windows Mobile 5.0 Smartphone,2006,164.45
Micromax,Micromax Canvas Fire 4 A107,Android 5.0,2015,604.45
Celkon,Celkon C54,Feature phone,2013,136.95
LG,LG Ray,Android 5.1,2016,3299.45
Asus,Asus ROG Phone 3 Strix,"Android 10, ROG UI",2020,1649.45
ZTE,ZTE Grand X2 In,Android 4.1,2013,1925
Asus,Asus Zenpad C 7.0 Z170MG,Android 5.0,2015,153.45
Nokia,Nokia 2323 classic,Feature phone,2009,329.45
